combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
32,2000,8,4,0.0,2.0,0.1,0.8100000000000003,5.0,2,0,5,495,0,0.545030434631859,0.08077623642348661,success
31,2000,8,4,0.0,2.0,0.1,0.8000000000000003,5.0,2,0,5,495,0,0.5440109821122507,0.0814983941164997,success
30,2000,8,4,0.0,2.0,0.1,0.7900000000000003,5.0,2,0,5,495,0,0.5425909148295786,0.08292983555397818,success
29,2000,8,4,0.0,2.0,0.1,0.7800000000000002,5.0,2,0,6,494,0,0.542446276098084,0.08332403042118743,success
28,2000,8,4,0.0,2.0,0.1,0.7700000000000002,5.0,2,0,6,494,0,0.5411496096770252,0.08399900316841322,success
27,2000,8,4,0.0,2.0,0.1,0.7600000000000002,5.0,2,0,6,494,0,0.5402791787882667,0.08476099433349198,success
26,2000,8,4,0.0,2.0,0.1,0.7500000000000002,5.0,2,0,6,494,0,0.5390260992446029,0.08532343740780654,success
25,2000,8,4,0.0,2.0,0.1,0.7400000000000002,5.0,2,0,8,492,0,0.5385117940801221,0.08512220552550484,success
21,2000,8,4,0.0,2.0,0.1,0.7000000000000002,5.0,2,0,14,486,0,0.5351312217952443,0.08495577000202578,success
24,2000,8,4,0.0,2.0,0.1,0.7300000000000002,5.0,2,0,9,491,0,0.5368029174362102,0.08664906746140562,success
23,2000,8,4,0.0,2.0,0.1,0.7200000000000002,5.0,2,0,10,490,0,0.5358561646166384,0.08679614647477993,success
22,2000,8,4,0.0,2.0,0.1,0.7100000000000002,5.0,2,0,13,487,0,0.5359554307469971,0.08507431484387173,success
20,2000,8,4,0.0,2.0,0.1,0.6900000000000002,5.0,2,0,14,486,0,0.5341351980290833,0.085209485373376,success
19,2000,8,4,0.0,2.0,0.1,0.6800000000000002,5.0,2,0,15,485,0,0.5336337363255255,0.08502082077056806,success
17,2000,8,4,0.0,2.0,0.1,0.6600000000000001,5.0,2,0,17,483,0,0.5294916655576906,0.08968011444454944,success
18,2000,8,4,0.0,2.0,0.1,0.6700000000000002,5.0,2,0,17,483,0,0.5307953972314529,0.0889104942019431,success
16,2000,8,4,0.0,2.0,0.1,0.6500000000000001,5.0,2,0,17,483,0,0.5272905111059843,0.09202064151485444,success
14,2000,8,4,0.0,2.0,0.1,0.6300000000000001,5.0,2,0,22,478,0,0.5252732200073854,0.09114661523094023,success
15,2000,8,4,0.0,2.0,0.1,0.6400000000000001,5.0,2,0,20,480,0,0.526274572543635,0.0912994409524237,success
13,2000,8,4,0.0,2.0,0.1,0.6200000000000001,5.0,2,0,24,476,0,0.5235920140800515,0.09191691669241123,success
12,2000,8,4,0.0,2.0,0.1,0.6100000000000001,5.0,2,0,24,476,0,0.5214225317895489,0.09360577595098825,success
11,2000,8,4,0.0,2.0,0.1,0.6000000000000001,5.0,2,0,26,474,0,0.5187971545170023,0.09482787580737896,success
10,2000,8,4,0.0,2.0,0.1,0.5900000000000001,5.0,2,0,26,474,0,0.5172432849508445,0.09435384858061059,success
9,2000,8,4,0.0,2.0,0.1,0.5800000000000001,5.0,2,0,28,472,0,0.5163459491930287,0.09481725008709144,success
7,2000,8,4,0.0,2.0,0.1,0.56,5.0,2,0,34,466,0,0.5127800414504752,0.09680173159674763,success
8,2000,8,4,0.0,2.0,0.1,0.5700000000000001,5.0,2,0,31,469,0,0.51398887535837,0.09657947960898124,success
6,2000,8,4,0.0,2.0,0.1,0.55,5.0,2,0,35,465,0,0.510154548661635,0.09882008663832291,success
5,2000,8,4,0.0,2.0,0.1,0.54,5.0,2,0,37,463,0,0.5077068193649228,0.09980660852753223,success
4,2000,8,4,0.0,2.0,0.1,0.53,5.0,2,0,38,462,0,0.5058379732933315,0.09995824740920731,success
3,2000,8,4,0.0,2.0,0.1,0.52,5.0,2,0,39,461,0,0.5041990524023227,0.10078940507666316,success
2,2000,8,4,0.0,2.0,0.1,0.51,5.0,2,0,47,453,0,0.503224241868573,0.10066319179346575,success
1,2000,8,4,0.0,2.0,0.1,0.5,5.0,2,0,54,446,0,0.5024417276843062,0.10164312931356857,success
36,2000,8,4,0.0,2.0,0.1,0.8500000000000003,5.0,2,0,4,496,0,0.5486593077259969,0.07733929080805352,success
40,2000,8,4,0.0,2.0,0.1,0.8900000000000003,5.0,2,0,4,496,0,0.551468916948266,0.07615847245332295,success
46,2000,8,4,0.0,2.0,0.1,0.9500000000000004,5.0,2,0,2,498,0,0.5536999344571486,0.07664381304921472,success
37,2000,8,4,0.0,2.0,0.1,0.8600000000000003,5.0,2,0,4,496,0,0.5494995318150838,0.07693294803252977,success
35,2000,8,4,0.0,2.0,0.1,0.8400000000000003,5.0,2,0,4,496,0,0.5473688501994898,0.0782902545923114,success
34,2000,8,4,0.0,2.0,0.1,0.8300000000000003,5.0,2,0,4,496,0,0.5467620682098905,0.07848838834607774,success
33,2000,8,4,0.0,2.0,0.1,0.8200000000000003,5.0,2,0,5,495,0,0.5459786298325175,0.07906383599864962,success
45,2000,8,4,0.0,2.0,0.1,0.9400000000000004,5.0,2,0,3,497,0,0.5540440334552671,0.07520138722574082,success
39,2000,8,4,0.0,2.0,0.1,0.8800000000000003,5.0,2,0,4,496,0,0.5510818233786982,0.0761005791160148,success
41,2000,8,4,0.0,2.0,0.1,0.9000000000000004,5.0,2,0,3,497,0,0.5517350428259611,0.07648544651429681,success
38,2000,8,4,0.0,2.0,0.1,0.8700000000000003,5.0,2,0,4,496,0,0.5504775844814334,0.07647236401199924,success
43,2000,8,4,0.0,2.0,0.1,0.9200000000000004,5.0,2,0,3,497,0,0.552953138314358,0.07585913333954312,success
42,2000,8,4,0.0,2.0,0.1,0.9100000000000004,5.0,2,0,3,497,0,0.5523433888450239,0.07633809686764756,success
