combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
1,2000,8,2,4.0,2.0,0.1,0.8,1.0,2,473,27,0,0,,,success
2,2000,8,2,4.0,2.0,0.1,0.8,1.2,2,427,35,38,0,0.862783301854215,0.24063606203535945,success
3,2000,8,2,4.0,2.0,0.1,0.8,1.4,2,400,48,52,0,0.7620567347408412,0.24241321361331486,success
4,2000,8,2,4.0,2.0,0.1,0.8,1.5999999999999999,2,388,56,56,0,0.7575329784186673,0.2411344433983199,success
5,2000,8,2,4.0,2.0,0.1,0.8,1.7999999999999998,2,365,59,76,0,0.7554807697234192,0.2514556393351761,success
6,2000,8,2,4.0,2.0,0.1,0.8,1.9999999999999998,2,381,34,85,0,0.6947984285026888,0.24109284042509302,success
7,2000,8,2,4.0,2.0,0.1,0.8,2.1999999999999997,2,395,18,87,0,0.6439871892243627,0.23813515392295986,success
32,2000,8,2,4.0,2.0,0.1,0.8,7.199999999999998,2,424,10,66,0,0.36213785224777134,0.1107059083612419,success
28,2000,8,2,4.0,2.0,0.1,0.8,6.399999999999999,2,424,8,68,0,0.3770918352588732,0.13214265966919791,success
29,2000,8,2,4.0,2.0,0.1,0.8,6.599999999999999,2,424,9,67,0,0.36871667608157893,0.1228845441034131,success
30,2000,8,2,4.0,2.0,0.1,0.8,6.799999999999999,2,424,10,66,0,0.36256532999549956,0.11156816380527801,success
31,2000,8,2,4.0,2.0,0.1,0.8,6.999999999999998,2,424,10,66,0,0.3625180631000709,0.10989402105640919,success
19,2000,8,2,4.0,2.0,0.1,0.8,4.6,2,426,3,71,0,0.38233177589929135,0.13901395458690788,success
17,2000,8,2,4.0,2.0,0.1,0.8,4.199999999999999,2,424,5,71,0,0.3921347400897452,0.1334715548991683,success
20,2000,8,2,4.0,2.0,0.1,0.8,4.799999999999999,2,427,6,67,0,0.36872461959948843,0.13028945962277344,success
