combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
1,2000,8,1,6.0,3.0,0.01,0.5,1.0,3,490,10,0,0,,,success
3,2000,8,1,6.0,3.0,0.01,0.5,1.4,3,473,12,15,0,0.9666666666666667,0.12909944487358058,success
2,2000,8,1,6.0,3.0,0.01,0.5,1.2,3,482,13,5,0,1.0,0.0,success
4,2000,8,1,6.0,3.0,0.01,0.5,1.5999999999999999,3,473,11,16,0,0.96875,0.125,success
6,2000,8,1,6.0,3.0,0.01,0.5,1.9999999999999998,3,477,6,17,0,0.9481183504899278,0.14793492436071295,success
5,2000,8,1,6.0,3.0,0.01,0.5,1.7999999999999998,3,476,6,18,0,0.9510006643515985,0.14403799251424942,success
8,2000,8,1,6.0,3.0,0.01,0.5,2.3999999999999995,3,456,16,28,0,0.9571538263725214,0.12844496846104647,success
11,2000,8,1,6.0,3.0,0.01,0.5,2.9999999999999996,3,440,18,42,0,0.9790002847221136,0.0959412124658641,success
10,2000,8,1,6.0,3.0,0.01,0.5,2.8,3,445,15,40,0,0.9779502989582193,0.09824971994982507,success
12,2000,8,1,6.0,3.0,0.01,0.5,3.1999999999999993,3,436,16,48,0,0.9816252491318495,0.08988273133620163,success
13,2000,8,1,6.0,3.0,0.01,0.5,3.3999999999999995,3,424,15,61,0,0.985541179644734,0.07991269791985525,success
14,2000,8,1,6.0,3.0,0.01,0.5,3.5999999999999996,3,419,11,70,0,0.987400170833268,0.07467824366716509,success
15,2000,8,1,6.0,3.0,0.01,0.5,3.7999999999999994,3,406,16,78,0,0.976192461004215,0.13005141584448884,success
17,2000,8,1,6.0,3.0,0.01,0.5,4.199999999999999,3,399,16,85,0,0.9528635501228501,0.18885172823029472,success
16,2000,8,1,6.0,3.0,0.01,0.5,3.999999999999999,3,399,14,87,0,0.9640629582056561,0.1596023969122305,success
7,2000,8,1,6.0,3.0,0.01,0.5,2.1999999999999997,3,464,12,24,0,0.9632504982636988,0.1257157322850153,success
9,2000,8,1,6.0,3.0,0.01,0.5,2.5999999999999996,3,451,15,34,0,0.9740591752449639,0.10632075066924791,success
18,2000,8,1,6.0,3.0,0.01,0.5,4.3999999999999995,3,385,21,94,0,0.9332388158844364,0.23013064706417866,success
25,2000,8,1,6.0,3.0,0.01,0.5,5.799999999999999,3,318,28,154,0,0.836706462086518,0.36070863126877106,success
26,2000,8,1,6.0,3.0,0.01,0.5,5.999999999999999,3,312,29,159,0,0.8164289071846308,0.3771915857927503,success
19,2000,8,1,6.0,3.0,0.01,0.5,4.6,3,377,26,97,0,0.9057969636353175,0.2775343331964975,success
20,2000,8,1,6.0,3.0,0.01,0.5,4.799999999999999,3,363,22,115,0,0.8954424764724515,0.29457638154344995,success
21,2000,8,1,6.0,3.0,0.01,0.5,4.999999999999999,3,357,24,119,0,0.8635999008236697,0.3317063884000061,success
27,2000,8,1,6.0,3.0,0.01,0.5,6.199999999999999,3,307,27,166,0,0.7678304710356549,0.41078615219586556,success
28,2000,8,1,6.0,3.0,0.01,0.5,6.399999999999999,3,290,23,187,0,0.7271876532456439,0.4360836197725519,success
23,2000,8,1,6.0,3.0,0.01,0.5,5.399999999999999,3,334,35,131,0,0.853211403377898,0.342421197054516,success
24,2000,8,1,6.0,3.0,0.01,0.5,5.599999999999999,3,325,32,143,0,0.831682426207477,0.36415882258290666,success
