combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
22,2000,8,1,6.0,2.0,0.01,0.7100000000000002,5.0,2,374,36,90,0,0.9151496141791549,0.25505669414416515,success
26,2000,8,1,6.0,2.0,0.01,0.7500000000000002,5.0,2,374,36,90,0,0.9121720155768799,0.2556186364874641,success
30,2000,8,1,6.0,2.0,0.01,0.7900000000000003,5.0,2,374,36,90,0,0.9126760283004485,0.2554326614155973,success
31,2000,8,1,6.0,2.0,0.01,0.8000000000000003,5.0,2,374,36,90,0,0.9126760283004485,0.2554326614155973,success
32,2000,8,1,6.0,2.0,0.01,0.8100000000000003,5.0,2,374,36,90,0,0.9126760283004485,0.2554326614155973,success
28,2000,8,1,6.0,2.0,0.01,0.7700000000000002,5.0,2,374,36,90,0,0.9121720155768799,0.2556186364874641,success
23,2000,8,1,6.0,2.0,0.01,0.7200000000000002,5.0,2,374,36,90,0,0.9151496141791549,0.25505669414416515,success
6,2000,8,1,6.0,2.0,0.01,0.55,5.0,2,372,35,93,0,0.9192693953444567,0.24981867277055617,success
2,2000,8,1,6.0,2.0,0.01,0.51,5.0,2,372,35,93,0,0.9192693953444567,0.24981867277055617,success
4,2000,8,1,6.0,2.0,0.01,0.53,5.0,2,372,35,93,0,0.9192693953444567,0.24981867277055617,success
29,2000,8,1,6.0,2.0,0.01,0.7800000000000002,5.0,2,374,36,90,0,0.9126760283004485,0.2554326614155973,success
7,2000,8,1,6.0,2.0,0.01,0.56,5.0,2,372,35,93,0,0.9192693953444567,0.24981867277055617,success
24,2000,8,1,6.0,2.0,0.01,0.7300000000000002,5.0,2,374,36,90,0,0.9151496141791549,0.25505669414416515,success
25,2000,8,1,6.0,2.0,0.01,0.7400000000000002,5.0,2,374,36,90,0,0.9121720155768799,0.2556186364874641,success
18,2000,8,1,6.0,2.0,0.01,0.6700000000000002,5.0,2,373,35,92,0,0.9176930526110133,0.2517962076551277,success
27,2000,8,1,6.0,2.0,0.01,0.7600000000000002,5.0,2,374,36,90,0,0.9121720155768799,0.2556186364874641,success
9,2000,8,1,6.0,2.0,0.01,0.5800000000000001,5.0,2,372,35,93,0,0.9192693953444567,0.24981867277055617,success
5,2000,8,1,6.0,2.0,0.01,0.54,5.0,2,372,35,93,0,0.9192693953444567,0.24981867277055617,success
11,2000,8,1,6.0,2.0,0.01,0.6000000000000001,5.0,2,372,35,93,0,0.9185780735506799,0.2505694088831662,success
3,2000,8,1,6.0,2.0,0.01,0.52,5.0,2,372,35,93,0,0.9192693953444567,0.24981867277055617,success
19,2000,8,1,6.0,2.0,0.01,0.6800000000000002,5.0,2,373,35,92,0,0.9176930526110133,0.2517962076551277,success
20,2000,8,1,6.0,2.0,0.01,0.6900000000000002,5.0,2,373,36,91,0,0.9160820360013618,0.25379167101499156,success
17,2000,8,1,6.0,2.0,0.01,0.6600000000000001,5.0,2,373,35,92,0,0.9176930526110133,0.2517962076551277,success
1,2000,8,1,6.0,2.0,0.01,0.5,5.0,2,372,35,93,0,0.9192693953444567,0.24981867277055617,success
21,2000,8,1,6.0,2.0,0.01,0.7000000000000002,5.0,2,374,36,90,0,0.9151496141791549,0.25505669414416515,success
14,2000,8,1,6.0,2.0,0.01,0.6300000000000001,5.0,2,373,35,92,0,0.9176930526110133,0.2517962076551277,success
16,2000,8,1,6.0,2.0,0.01,0.6500000000000001,5.0,2,373,35,92,0,0.9176930526110133,0.2517962076551277,success
10,2000,8,1,6.0,2.0,0.01,0.5900000000000001,5.0,2,372,35,93,0,0.9185780735506799,0.2505694088831662,success
8,2000,8,1,6.0,2.0,0.01,0.5700000000000001,5.0,2,372,35,93,0,0.9192693953444567,0.24981867277055617,success
12,2000,8,1,6.0,2.0,0.01,0.6100000000000001,5.0,2,372,35,93,0,0.9185780735506799,0.2505694088831662,success
15,2000,8,1,6.0,2.0,0.01,0.6400000000000001,5.0,2,373,35,92,0,0.9176930526110133,0.2517962076551277,success
