combination_id,n,k,p,q,thrshld,p1,p2,beta,seeds,case_A_count,case_B_count,case_C_count,case_Invalid_count,delta_star_mean,delta_star_std,status
1,2000,8,3,2.0,2.0,0.01,0.8,1.0,2,498,2,0,0,,,success
4,2000,8,3,2.0,2.0,0.01,0.8,1.5999999999999999,2,495,1,4,0,0.875,0.25,success
2,2000,8,3,2.0,2.0,0.01,0.8,1.2,2,496,2,2,0,1.0,0.0,success
3,2000,8,3,2.0,2.0,0.01,0.8,1.4,2,495,1,4,0,0.875,0.25,success
5,2000,8,3,2.0,2.0,0.01,0.8,1.7999999999999998,2,496,1,3,0,0.8333333333333334,0.28867513459481287,success
6,2000,8,3,2.0,2.0,0.01,0.8,1.9999999999999998,2,498,1,1,0,0.4141961693820641,,success
7,2000,8,3,2.0,2.0,0.01,0.8,2.1999999999999997,2,498,1,1,0,0.3213648185812552,,success
8,2000,8,3,2.0,2.0,0.01,0.8,2.3999999999999995,2,498,1,1,0,0.3027654210379453,,success
9,2000,8,3,2.0,2.0,0.01,0.8,2.5999999999999996,2,498,1,1,0,0.30226086133482455,,success
10,2000,8,3,2.0,2.0,0.01,0.8,2.8,2,497,1,2,0,0.6497987336736595,0.495259380398943,success
27,2000,8,3,2.0,2.0,0.01,0.8,6.199999999999999,2,495,1,4,0,0.18546193174186476,0.1727454931101998,success
25,2000,8,3,2.0,2.0,0.01,0.8,5.799999999999999,2,495,1,4,0,0.43414333681437495,0.39705031836898635,success
31,2000,8,3,2.0,2.0,0.01,0.8,6.999999999999998,2,486,1,13,0,0.056520622740607034,0.12224242304616631,success
22,2000,8,3,2.0,2.0,0.01,0.8,5.199999999999999,2,496,1,3,0,0.22072870898043992,0.18495334635131078,success
28,2000,8,3,2.0,2.0,0.01,0.8,6.399999999999999,2,492,1,7,0,0.09808574711889562,0.1602553238912997,success
30,2000,8,3,2.0,2.0,0.01,0.8,6.799999999999999,2,491,1,8,0,0.08621979561846721,0.1514906573707196,success
