delta,V_clustered_mean,V_clustered_se,V_random_mean,V_random_se,difference,delta_star_count,delta_star_values,dominant_below,dominant_above,always_dominant
0.0,0.0,0.0,0.0,0.0,0.0,0,None,,,Clustered
0.001,0.0020009808205004214,1.0395709584228137e-07,0.002000380040000001,7.945937809975852e-08,-6.007805004202768e-07,0,None,,,Clustered
0.002,0.004003926568013453,4.161191983060079e-07,0.004001520320000002,3.1788267199077225e-07,-2.406248013450858e-06,0,None,,,Clustered
0.003,0.006008842180602193,9.369239658243598e-07,0.006003421080000001,7.153376935909444e-07,-5.42110060219262e-06,0,None,,,Clustered
0.004,0.00801573260843082,1.6668109773335124e-06,0.008006082560000006,1.2718923514700677e-06,-9.65004843081485e-06,0,None,,,Clustered
0.005,0.010024602813815328,2.6062217395567233e-06,0.010009505000000005,1.987614650781212e-06,-1.5097813815322797e-05,0,None,,,Clustered
0.006,0.012035457771274363,3.7555996943328548e-06,0.012013688640000006,2.862572693191889e-06,-2.1769131274357312e-05,0,None,,,Clustered
0.007,0.014048302467580256,5.1153902259874555e-06,0.014018633720000005,3.896834676815563e-06,-2.966874758025123e-05,0,None,,,Clustered
0.008,0.01606314190181009,6.6860406687478485e-06,0.016024340480000007,5.090468896142359e-06,-3.880142181008489e-05,0,None,,,Clustered
0.009000000000000001,0.018079981085397018,8.468000314202588e-06,0.018030809160000015,6.443543741970616e-06,-4.9171925397002714e-05,0,None,,,Clustered
0.01,0.020098825042181613,1.0461720418804248e-05,0.02003804000000001,7.956127701338097e-06,-6.078504218160266e-05,0,None,,,Clustered
0.011,0.02211967880846344,1.2667654211416327e-05,0.022046033240000002,9.628289357453249e-06,-7.36455684634367e-05,0,None,,,Clustered
0.012,0.02414254743305269,1.5086256900905135e-05,0.024054789120000003,1.1460097389625892e-05,-8.775831305268822e-05,0,None,,,Clustered
0.013000000000000001,0.026167435977321997,1.7717985683775408e-05,0.026064307880000023,1.3451620573199011e-05,-0.00010312809732197434,0,None,,,Clustered
