combination_id,k,thrshld,p1,p2,beta,seeds,primary_delta_star,num_intersections,status,delta_star_count,delta_star_values,dominant_below,dominant_above,always_dominant,intersection_1,intersection_2,intersection_3,intersection_4,intersection_5
1,4,2,0.1,0.3,1,2,,0,not_found,0,None,,,Clustered,,,,,
2,4,2,0.1,0.3,3,2,0.936894634,1,found,1,0.9369,Clustered,Random,,0.936894634,,,,
9,4,2,0.1,0.5,1,2,,0,not_found,0,None,,,Clustered,,,,,
10,4,2,0.1,0.5,3,2,,0,not_found,0,None,,,Clustered,,,,,
3,4,2,0.1,0.3,5,2,0.267476985,2,multiple,2,"[0.2675, 0.5780]",,,,0.267476985,0.577974191,,,
5,4,2,0.1,4,1,2,,0,not_found,0,None,,,Clustered,,,,,
13,4,2,0.1,0.6,1,2,,0,not_found,0,None,,,Clustered,,,,,
6,4,2,0.1,4,3,2,,0,not_found,0,None,,,Clustered,,,,,
7,4,2,0.1,4,5,2,0.845946162,1,found,1,0.8459,Clustered,Random,,0.845946162,,,,
4,4,2,0.1,0.3,7,2,0.594591726,1,found,1,0.5946,Clustered,Random,,0.594591726,,,,
8,4,2,0.1,4,7,2,0.768673876,1,found,1,0.7687,Clustered,Random,,0.768673876,,,,
14,4,2,0.1,0.6,3,2,,0,not_found,0,None,,,Clustered,,,,,
17,4,2,0.1,0.7,1,2,,0,not_found,0,None,,,Clustered,,,,,
21,4,2,0.1,0.8,1,2,,0,not_found,0,None,,,Clustered,,,,,
11,4,2,0.1,0.5,5,2,0.758171799,1,found,1,0.7582,Clustered,Random,,0.758171799,,,,
18,4,2,0.1,0.7,3,2,,0,not_found,0,None,,,Clustered,,,,,
12,4,2,0.1,0.5,7,2,0.701325917,1,found,1,0.7013,Clustered,Random,,0.701325917,,,,
15,4,2,0.1,0.6,5,2,0.795568469,1,found,1,0.7956,Clustered,Random,,0.795568469,,,,
16,4,2,0.1,0.6,7,2,0.723049278,1,found,1,0.723,Clustered,Random,,0.723049278,,,,
25,4,2,0.1,0.9,1,2,,0,not_found,0,None,,,Clustered,,,,,
19,4,2,0.1,0.7,5,2,0.823145908,1,found,1,0.8231,Clustered,Random,,0.823145908,,,,
22,4,2,0.1,0.8,3,2,,0,not_found,0,None,,,Clustered,,,,,
20,4,2,0.1,0.7,7,2,0.760745247,1,found,1,0.7607,Clustered,Random,,0.760745247,,,,
23,4,2,0.1,0.8,5,2,0.825803467,1,found,1,0.8258,Clustered,Random,,0.825803467,,,,
26,4,2,0.1,0.9,3,2,,0,not_found,0,None,,,Clustered,,,,,
29,4,2,0.1,1,1,2,,0,not_found,0,None,,,Clustered,,,,,
33,4,2,0.2,0.3,1,2,,0,not_found,0,None,,,Random,,,,,
30,4,2,0.1,1,3,2,,0,not_found,0,None,,,Clustered,,,,,
24,4,2,0.1,0.8,7,2,0.757859484,1,found,1,0.7579,Clustered,Random,,0.757859484,,,,
27,4,2,0.1,0.9,5,2,0.840609751,1,found,1,0.8406,Clustered,Random,,0.840609751,,,,
28,4,2,0.1,0.9,7,2,0.794609657,1,found,1,0.7946,Clustered,Random,,0.794609657,,,,
34,4,2,0.2,0.3,3,2,,0,not_found,0,None,,,Random,,,,,
31,4,2,0.1,1,5,2,0.851464661,1,found,1,0.8515,Clustered,Random,,0.851464661,,,,
41,4,2,0.2,0.5,1,2,1,1,found,1,1,Clustered,Random,,1,,,,
35,4,2,0.2,0.3,5,2,,0,not_found,0,None,,,Random,,,,,
37,4,2,0.2,4,1,2,,0,not_found,0,None,,,Clustered,,,,,
32,4,2,0.1,1,7,2,0.777816683,1,found,1,0.7778,Clustered,Random,,0.777816683,,,,
38,4,2,0.2,4,3,2,0.363146286,1,found,1,0.3631,Clustered,Random,,0.363146286,,,,
42,4,2,0.2,0.5,3,2,,0,not_found,0,None,,,Random,,,,,
45,4,2,0.2,0.6,1,2,0.394832851,1,found,1,0.3948,Random,Clustered,,0.394832851,,,,
39,4,2,0.2,4,5,2,0.382301163,1,found,1,0.3823,Clustered,Random,,0.382301163,,,,
40,4,2,0.2,4,7,2,0.478509485,1,found,1,0.4785,Clustered,Random,,0.478509485,,,,
49,4,2,0.2,0.7,1,2,0.433800662,1,found,1,0.4338,Random,Clustered,,0.433800662,,,,
36,4,2,0.2,0.3,7,2,,0,not_found,0,None,,,Random,,,,,
46,4,2,0.2,0.6,3,2,,0,not_found,0,None,,,Random,,,,,
43,4,2,0.2,0.5,5,2,,0,not_found,0,None,,,Random,,,,,
53,4,2,0.2,0.8,1,2,,0,not_found,0,None,,,Clustered,,,,,
44,4,2,0.2,0.5,7,2,,0,not_found,0,None,,,Random,,,,,
47,4,2,0.2,0.6,5,2,0.226094571,1,found,1,0.2261,Clustered,Random,,0.226094571,,,,
48,4,2,0.2,0.6,7,2,0.05285663,1,found,1,0.0529,Clustered,Random,,0.05285663,,,,
50,4,2,0.2,0.7,3,2,0.294176146,1,found,1,0.2942,Clustered,Random,,0.294176146,,,,
57,4,2,0.2,0.9,1,2,,0,not_found,0,None,,,Clustered,,,,,
51,4,2,0.2,0.7,5,2,0.296550897,1,found,1,0.2966,Clustered,Random,,0.296550897,,,,
52,4,2,0.2,0.7,7,2,0.109511026,1,found,1,0.1095,Clustered,Random,,0.109511026,,,,
54,4,2,0.2,0.8,3,2,,0,not_found,0,None,,,Random,,,,,
55,4,2,0.2,0.8,5,2,0.285860951,1,found,1,0.2859,Clustered,Random,,0.285860951,,,,
56,4,2,0.2,0.8,7,2,0.226842796,1,found,1,0.2268,Clustered,Random,,0.226842796,,,,
61,4,2,0.2,1,1,2,,0,not_found,0,None,,,Clustered,,,,,
58,4,2,0.2,0.9,3,2,0.131816422,1,found,1,0.1318,Clustered,Random,,0.131816422,,,,
65,4,2,0.3,0.3,1,2,,0,not_found,0,None,,,Random,,,,,
59,4,2,0.2,0.9,5,2,0.437274221,1,found,1,0.4373,Clustered,Random,,0.437274221,,,,
60,4,2,0.2,0.9,7,2,0.369973023,1,found,1,0.37,Clustered,Random,,0.369973023,,,,
66,4,2,0.3,0.3,3,2,,0,not_found,0,None,,,Random,,,,,
62,4,2,0.2,1,3,2,0.537347829,1,found,1,0.5373,Clustered,Random,,0.537347829,,,,
63,4,2,0.2,1,5,2,0.357570898,1,found,1,0.3576,Clustered,Random,,0.357570898,,,,
73,4,2,0.3,0.5,1,2,,0,not_found,0,None,,,Random,,,,,
64,4,2,0.2,1,7,2,0.448401187,1,found,1,0.4484,Clustered,Random,,0.448401187,,,,
69,4,2,0.3,4,1,2,0.431359717,1,found,1,0.4314,Random,Clustered,,0.431359717,,,,
67,4,2,0.3,0.3,5,2,,0,not_found,0,None,,,Random,,,,,
77,4,2,0.3,0.6,1,2,,0,not_found,0,None,,,Random,,,,,
70,4,2,0.3,4,3,2,0.063005135,1,found,1,0.063,Clustered,Random,,0.063005135,,,,
68,4,2,0.3,0.3,7,2,,0,not_found,0,None,,,Random,,,,,
71,4,2,0.3,4,5,2,0.113430506,1,found,1,0.1134,Clustered,Random,,0.113430506,,,,
72,4,2,0.3,4,7,2,,0,not_found,0,None,,,Random,,,,,
74,4,2,0.3,0.5,3,2,,0,not_found,0,None,,,Random,,,,,
81,4,2,0.3,0.7,1,2,,0,not_found,0,None,,,Random,,,,,
